toegangsnummer,titel
509AV,Archief van de Stichting Zorg en Bijstand: beeld- en geluidsmateriaal
5177A,"Archief van de Secretarie, Afdeling Financiën: eerste aanvulling"
5178AV,Archief van de Secretarie Afdeling Belastingen: video's
5180A,Publieke Werken
5180A,Archief van de Secretarie Afdeling Publieke Werken: aanvulling
5180B,Archief van de Secretarie Afdeling Publieke Werken: tweede aanvulling
5180BT-1,Archief van de Secretarie Afdeling Publieke Werken: bouwtekeningen
5180BT-2,Archief van de Secretarie Afdeling Publieke Werken: bouwtekeningen Woningdienst ('Zwarte mappen')
5181A,Archief van de Secretarie Afdeling Algemene Zaken: aanvulling
5181C,Archief van de Secretarie Afdeling Algemene Zaken: tweede aanvulling
5181D,Archief van de Secretarie Afdeling Algemene Zaken
5182A,Archief van de Secretarie Afdeling Militaire Zaken: aanvulling
5184A,Archief van de Secretarie Afdeling Gemeentebedrijven: aanvulling
5186A,Archief van de Commissie van Toezicht op de NV Waarborg en Trustmaatschappij
5187A,Secretarie: Volkshuisvesting
5187A,Archief van de Secretarie Afdeling Volkshuisvesting en gedeponeerde archieven
5187BT,Archief van de Secretarie Afdeling Volkshuisvesting: bouwtekeningen
5191FO,Archief van de Secretarie Afdeling Onderwijs: foto's
5192A,Secretarie: afdeling Kunstzaken
5192A,"Archief van de Secretarie, Afdeling Kunstzaken: Aanvulling"
5213A,Archief van Dienst der Publieke Werken: aanvulling
5213B,Archief van Dienst der Publieke Werken: aanvulling
5213BT,Archief van de Dienst der Publieke Werken: bouwtekeningen
5213FO,Archief van de Dienst der Publieke Werken Afdeling Bestratingen: foto's
5221.FO-1,Dienst BWT: foto's
5221BT,Archief van de Dienst Bouw- en Woningtoezicht: bouwtekeningen
5221FO-1,Archief van de Dienst Bouw- en Woningtoezicht: foto's
5221FO-2,Archief van de Dienst Bouw- en Woningtoezicht Afdeling Reclametoezicht: foto's
5225A,Archief van de Gemeentepolitie
5225AV,Archief van de Politie: films
5225FO,Archief van de Politie: foto's
5238AV,Archief van het Gemeente Girokantoor: films
5252A,Archief van het Gemeente Vervoerbedrijf Afdeling Veren
5252B,Archief van het Gemeentevervoerbedrijf: tweede aanvulling
5253B,Archief van de Gemeentewaterleidingen: aanvulling
5253BT,Archief van de Gemeentewaterleidingen: bouwtekeningen
5253FO,Archief van de Gemeentewaterleidingen: foto's
5256A,Archief van de Gemeentelijke Sociale Dienst: cliëntendossiers Algemene Bijstandswet
5256AV,Archief van de Gemeentelijke Sociale Dienst: films
5256B,Archief van de Gemeentelijke Sociale Dienst: cliëntendossiers Beeldende Kunstenaars Regeling
5256C,Archief van de Gemeentelijke Sociale Dienst: cliëntendossiers Algemeen Maatschappelijk Werk
5256D,Archief van de Federatie van Instellingen voor Kinderbescherming: cliëntendossiers
5267A,Archief van de Gemeentelijke Geneeskundige en Gezondheidsdienst: cliëntendossiers Jeugdpsychiatrie (JP)
5267AV,GG&GD
5267AV,Archief van de Gemeentelijke Geneeskundige en Gezondheidsdienst: films
5267B,Archief van de Gemeentelijke Geneeskundige en Gezondheidsdienst: cliëntendossiers Volwassenen en Acute Psychiatrie (VAP)
5267C,Archief van de Gemeentelijke Geneeskundige en Gezondheidsdienst: cliëntendossiers Psychogeriatrie (PG)
5267D,Archief van de Gemeentelijke Geneeskundige en Gezondheidsdienst: cliëntendossiers Sociaal Pedagogisch Bureau (SPB)
5268FO,Archief van de Gemeenteziekenhuizen: foto's Wilhelmina Gasthuis
5274AV,audiovisueel materiaal
5274AV,Archief van de Stadsreiniging: audiovisueel materiaal
5274BT,Archief van de Stadsreiniging: bouwtekeningen
5274FO,Archief van de Dienst der Stadsreiniging en rechtsopvolger: foto's en dia's
5275FO,Archief van de Veemarkt en het Abattoir: foto's
5282A,"Archief van de Dienst der Was-, Schoonmaak-, Bad- en Zweminrichtingen"
5287AV,Archief van de Kamer van Koophandel en Fabrieken: films
5293A,Archief van de Gemeentelijke Dienst Volkshuisvesting en rechtsvoorganger: woningkartotheek
5293FO,Gemeentelijke Woningdienst
5293FO,Archief van de Gemeentelijke Dienst Volkshuisvesting en rechtsvoorganger: glasnegatieven
5293FO-A,Fotoarchief van de Gemeentelijke Dienst Volkshuisvesting en rechtsvoorganger: foto's A-serie
5293FO-B,Archief van de Gemeentelijke Dienst Volkshuisvesting: foto's B-serie
5293FO-F,Archief van de Gemeentelijke Dienst Volkshuisvesting: foto's F-serie
5304A,Archief van de Gemeentelijke Accountantsdienst: aanvulling
5306A,Archief van de Secretarie Bureau Bestuurscontacten
5320A,Archief van de Secretarie Afdeling Jeugdzaken en Sport
5320B,Secretarie: afdeling Jeugdzaken en Volksontwikkeling
5320B,Archief van de Secretarie Afdeling Jeugdzaken en Volksontwikkeling
5344AV,Archief van de Dienst Ruimtelijke Ordening: audiovisueel materiaal
5344KA,Dienst PW: Stadsontwikkeling en Stadsuitbreiding
5344KA,Archief van de Dienst Ruimtelijke Ordening: kaarten
5370A,Archief van het Gemeentelijk Grondbedrijf en rechtsvoorganger: aanvulling
5370KA,Archief van het Gemeentelijk Grondbedrijf: kaarten
5376A,Archief van de Secretarie Coördinatiecommissie Ontwikkeling Zuid Oost Lob
538FO,Collectie Gemeentelijke Commissie Heemkennis: glasnegatieven
5400AV,Archief van het Gemeente Energie Bedrijf: films
5404AV,Archief van de Amsterdamse Raad voor de Beroepskeuze: films
5415AV,Archief van de Dienst Waterbeheer en Riolering: audiovisueel materiaal
5436FO,Archief van de Commissie voor de Straatnamen en rechtsvoorgangers: foto's
565A,Doopsgezinde Gemeenten
565A,Archief van de Doopsgezinde Gemeenten
565C,Archief van de Doopsgezinde Gemeente
580FO,Archief van de Algemene Maatschappij van Levensverzekering en Lijfrente te Amsterdam N.V. en rechtsvoorgangers: foto's
623FO,Archief van de Gerrit van der Veen Scholengemeenschap en rechtsvoorganger: foto's
635AV,Archief van de Brandweer en rechtsvoorgangers: films
665A,Technisch Handelsbureau J.H. van den Wall Bake
665A,Archief van het Technisch Handelsbureau J.H. van den Wall Bake
692FO,Archief van Ir. W.A.E. van Geuns: foto's
693AV-1,Archief van de Stichting Koninklijk Concertgebouworkest: geluidsdragers afkomstig van N.P.H. Steffen
693AV-2,Archief van de Stichting Koninklijk Concertgebouworkest: geluidsdragers met documentatie afkomstig van J. Geleedst
729FO,Archief van de Familie Wertheim: foto's
733FO,Archief van C. Poel Jr.: foto's
743A,Archief van de Gereformeerde Kerk A en rechtsvoorgangers
743B,Gereformeerde Kerk te Amsterdam-Centrum
743B,Archief van de Gereformeerde Kerk B en rechtsvoorgangers
743C,Archief van de Gereformeerde Kerken in Nederland Classis Amsterdam en rechtsvoorgangers
743D,Archief van de Particuliere Synode van de Gereformeerde Kerk en rechtsvoorgangers
745AV,Archief van de Dienst van het Marktwezen: films
745FO,Archief van de Dienst van het Marktwezen: foto's
746BT,Archief van G. Schaling: bouwtekeningen
76A,Archief van de Familie De Graeff: aanvulling
786BT,"Archief van Odink, De Kimpe, Hartsuyker-Curjel: bouwtekeningen"
805FO,Archief van het Ir. Lely-Lyceum en rechtsvoorganger: foto's
827AV,Archief van de Vereniging Ons Huis: audiovisueel materiaal
843A,Archief van de Algemene Doopsgezinde Sociëteit: aanvulling
843AV,Archief van de Algemene Doopsgezinde Sociëteit: geluidsdragers
888FO,Archief Jan Weggelaar: foto's
910AV,Archief van de Koninklijke Nederlandse Roeibond: audiovisueel materiaal
929AF,Archief van N.V. Magazijn De Bijenkorf: affiches
929AV,Archief van N.V. Magazijn De Bijenkorf: films
929FO,Archief van N.V. Magazijn De Bijenkorf: foto's
939AV,Archief van de Vereniging voor Openbaar Onderwijs en rechtsvoorganger: films
945AV,"Archief van de Eduard Van Beinum Stichting: geluidsbanden, foto's en dia's"
952AV,St. Sociaal-Cultureel Wijkcentrum De Jordaan
952AV,Archief van de Stichting Sociaal-Cultureel Wijkcentrum 'de Jordaan': audiovisueel materiaal
GAW001,"Archief van de Commissarissen van het Zandpad tussen Amsterdam, Weesp en 's Graveland, 1637-1929 (1939)"
GAW002,"Archief van de Rederijkerskamer Demosthenes, Weesp, 1754-1867"
GAW003,"Archief van de Stichting De Weesper Kring, 2003-2006"
GAW004,"Archief van de Verschillende organisaties op land- en tuinbouwgebied in de Vechtstreek C.B.T.B. / W.L.T.O. / L.T.B. , 1935-1995"
GAW005,"Archief van de Hengelaarsvereniging Weesp en de Algemene Weesper Hengelaars Bond, 1938-1969"
GAW006,"Archief van de Afdeling Weesp van Nederlands Volksherstel (NVH), 1945-1948"
GAW007,"Archief van de Weesper IJsclub Wesopa, 1963-1968 (1979)"
GAW008,"Archief van de Rooms-Katholieke Middenstandsvereniging De Hanze, afdeling Weesp, 1938-1966"
GAW009,"Archief van de Algemene Vereniging voor Gezinsverzorging Weesp e.o., 1949-1977 (1981)) en de Stichting Oude Algemene Vereniging voor Gezinsverzorging Weesp e.o., 1981-1990 (1991), 1949-1991"
GAW010,"Archief van de Parochieel Ontspannings Centrum, Plaatselijk Ontspannings Centrum (POC) , 1962-1987"
GAW011,"Archief van de J. Goudberg, Weesp, 1970-1984"
GAW012,"Archief van de Nationale Christen Geheelonthoudersvereniging, afdeling Weesp, (1915) 1963-1992 (1999)"
GAW013,"Archief van de Bestuur van de Protestantsche Bewaarschool en de Stichting Marijkeschool , 1869-1941"
GAW014,"Archief van de Weesper Footballclub Rapiditas, 1902-2002 (2003)"
GAW015,"Archief van de Politieke Vereniging Progressief Weesp, 1970-1974"
GAW016,"Archief van de Stichting Vrienden van de Stichting Welzijn Ouderen Weesp e.o. en de Stichting Vrienden Ouderenwerk Weesp e.o., 1995-2007 (2008)"
GAW017,"Collectie familie Oostendorp, Weesp, 1938-1967"
GAW018,"Collectie familie Vorsselman/Vorselman, Weesp, 1895-1947"
GAW019,"Archief van de Vrijwillige brandweervereniging 'Aktief' , 1950-1998"
GAW020,"Collectie ingenieursbureau A.C.M. van Etten, Weesp, 1933-1937"
GAW021,Archief van de Toneelvereniging Eensgezindheid 
GAW023,"Archief van de Zieken- en begrafenisbus 'Tot Onderling Nut' , 1877-1925"
GAW024,"Collectie familie Bijl, Van Soll, Dalmulder, Weesp, 1783-1889"
GAW025,"Archief van de Afdeling Weesp van de VVD, Volkspartij voor Vrijheid en Democratie, 1958-1988"
GAW026,"Archief van de Anti-Revolutionaire Kiesvereniging Weesp, (1930)-1981"
GAW027,"Archief van de Evangelisch-Lutherse Gemeente , 1643-2006"
GAW028-01,"Archief van de Stad Weesp, 1355-1795 (1890)"
GAW028-02,"Archief van de Overaetsveldse Polder , 1521-1852"
GAW028-03,"Archief van de Keverdijkse polder , 1555-1813"
GAW028-04,"Archief van de Gemeenschapspolder , 1926-1927"
GAW028-05,"Archief van de Aetsveldse Polder , 1480-1908"
GAW028-06,"Archief van de Binnenaetsveldse polder , 1801"
GAW028-07,"Archief van de Broeker polder , 1812"
GAW028-08,Archief van de Zuwe polder 
GAW028-09,"Archief van de Kuijerpolder , 1652"
GAW028-10,"Archief van de Bloemendaler polder , 1676-1900"
GAW028-11,"Archief van de Polders  - Ongedefinieerde stukken, 1812-1813"
GAW028-12,"Archief van de Gilden , 1598 - 1925"
GAW028-13,"Archief van de Stad Weesp, charters, 1349-1809"
GAW029,"Archief van de Stad en gemeen, (1738) 1796-1813 (1858)"
GAW030-01,"Archief van de Gemeen, (1810) 1814-1912 (1987)"
GAW030-02,"Archief van de Begraafplaats Landscroon , 1827 - 1948"
GAW030-03,"Archief van de Schoolcommissie , 1825-1878"
GAW030-04,"Archief van de Plaatselijke commissie van het Fonds ter aanmoediging en ondersteuning van de gewapende dienst in de Nederlanden , 1861-1875"
GAW030-05,"Archief van de Maatschappij van Weldadigheid, afdeling Weesp, 1843 - 1866"
GAW031-01,"Archief van de Gemeen, (1829) 1940-1988 (1992)"
GAW032,"Archief van de Weesper Schutterij, 1588-1906"
GAW033,"Archief van de Belangenvereniging Funderingsproblematiek Weesp, (1999) 2005-2011"
GAW034,"Archief van de Commissie tot wering van schoolverzuim , 1901-1968"
GAW035,"Archief van de Verzameling stukken betreffende de Tweede Wereldoorlog, Weesp"
GAW036,Archief van de Stichting Muziekevenementen Weesp
GAW037,Archief van de Openbare school voor Uitgebreid Lager Onderwijs 
GAW038,Archief van de Handelsavondschool 
GAW039,Archief van de Vereniging Volksonderwijs Weesp
GAW040,Archief van de Jan Leeghwater basisschool 
GAW041,"Archief van de Jan Dingemanseschool , 1983-1992"
GAW042,Archief van de Stichting School Voor Volwassenen (SVV) en Stichting Federatie van Organisaties voor Volwassenenonderwijs (FOV) 
GAW043-01,Archief van de Hervormde Gemeen en Driemond
GAW043-02,Archief van het Fonds ter instandhouding van den [Hervormden] Openbaaren Godsdienst 
GAW043-03,Archief van het Kiescollege Hervormde Gemeen
GAW043-04,"Archief van de Christelijke jongelings-, meisjes- en knapenverenigingen "
GAW043-05,Archief van de Vereeniging Protestantsche Naai- en breischool 
GAW043-06,Archief van de Vereeniging hulpverleening 
GAW043-07,"Archief van de Vereeniging Protestantsch Nederland, afdeling Weesp"
GAW043-08,Archief van het Nederlandsch Hervormd Kerkkoor 
GAW043-09,Archief van het Christelijk Militair Tehuis 
GAW043-10,Archief van de Stichting Gezondheidszorg 
GAW043-11,Archief van het Driehoekscomité Weesp
GAW043-12,Archief van de Vereniging De Ziekenverpleging Oranje-Groene Kruis 
GAW043-13,Collectie dr. W. de Graaf 
GAW043-14,Archief van de Raad van Kerken 
GAW043-15,Archief van de Boekentafel Hebron 
GAW043-16,Archief van de Stichting Vrienden van de Grote Kerk 
GAW044,"Archief van de Rooms-Katholieke Parochie H. Laurentius , 1450-2010 (2020)"
GAW046,"Archief van de Stichting Huize St. Bernardus , (1760) 1837-1995"
GAW047-01,"Archief van de Bartholomeus Gast- en Armenweeshuis , 1557-1970"
GAW047-02,"Archief van de Familie Stickle-Marshall, Weesp, 1789-1850"
GAW048,"Archief van de Gereformeerd Burgerweeshuis , 1610-1999 (2007)"
GAW049,"Archief van de Collectie de heer en mevrouw Over de Linden-Haasbroek, Weesp"
GAW050,"Archief van de Componist Joh. Schafstall, 1904-1944"
GAW051,Collectie Fa. Sluis Weesperkarspel
GAW052,Archief van de Collectie Centrale Ammoniakfabriek Weesperkarspel
GAW053,Archief van de Collectie Fa. Smederij Wildschut 
GAW054,Archief van de Collectie Fa. Heidemann 
GAW055,Archief van de Rooms-Katholieke Voetbalvereniging The Victory 
GAW056,Archief van de Voetbalvereniging Alles Door Eendracht (ADE) 
GAW058-01,"Archief van de Stichting Katholieke Gezinszorg en Gezinshulp 'De Noordelijke Vechtstreek', 1955-1993"
GAW058-02,"Archief van de Stichting Katholieke Gezinszorg en Gezinshulp Weesp en Weesperkarspel, (1948) 1950 - 1954 (1955)"
GAW059,Archief van de Openbare Leeszaal Weesp
GAW060,"Archief van de Feestcommissie , 1913"
GAW061,"Archief van de Beheerder City of Wesopa , -"
GAW062,Archief van de Culturele Raad Weesp
GAW063,Archief van de Jeugdraad Weesp
GAW064,Archief van de Vereniging Bewoners Sinnigvelderstraat 
GAW065,Archief van de Rooms-Katholieke Bouwvakarbeidersbond St. Joseph 
GAW066,"Archief van de Rooms-Katholieke Volksbond, Katholieke Arbeiders Beweging (KAB), afdeling Weesp, en Nederlands Katholiek Vakverbond (NKV), afdeling Weesp"
GAW067,"Archief van de Commissie voor het organiseren van een optocht ter gelegenheid van de inhuldigingsfeesten voor koningin Wilhelmina, 1898"
GAW068,"Archief van het Ziekenfonds Onderlinge Hulp , 1931-1934"
GAW069,"Archief van de Vereniging tot bestrijding van Tuberculose in Weesp, 1940-1954"
GAW070,"Archief van de Afdeling Weesp van de Maatschappij tot Nut van 't Algemeen, 1799-1970"
GAW071,Archief van de Stichting Volksfeesten Weesp
GAW072,Archief van de Collectie Weesper Theater
GAW073,"Archief van de Afdeling Weesp en Weesperkarspel van de Nederlandse Christelijke Vrouwenbond, 1953-1983"
GAW074,Archief van de Vereniging Behoud Karakteristiek Weesp
GAW075,Archief van de Vereniging Vredeswerk Weesp
GAW076,Archief van de Stichting Culturele Accomodaties (SCA) 
GAW077,Archief van de Collectie Volkstuinvereniging Kweeklust inzake de aanleg van de Flevospoorlijn
GAW078,"Archief van de Stichting Musical Weesp, Musical Jozef, Stadsmusical Weesp 650"
GAW079,"Archief van de Gezondheidscommissie , 1904-1931"
GAW080,"Archief van de Vereniging en Werkgroep Stedenband Weesp-Svitavy, 1989-2010"
GAW081,Collectie tentoonstellingsaffiches Gemeentemuseum Weesp
GAW082,Archief van de Vereniging Weesp tegen A6-A9
GAW083,"Archief van de D66, afdeling Weesp"
GAW084,Archief van de Stichting Musical Joseph Weesp
GAW085,"Archief van de Comite Leniging Noden (C.L.N.) , 1944-1997"
GAW086,Archief van de Algemene Weesper Woningbouwvereniging
GAW087,"Archief van de Stichting Weesp 650, (2000) 2001-2006"
GAW088,Archief van de Weesper dameskoor
GAW089,Archief van de Weesper Damclub
GAW090,"Archief van de Bescherming Bevolking, kring Noord-Holland nr. 7"
GAW091,Archief van de Collectie Actiegroep Carillon 16 Uur Aan 
GAW092,"Archief van de C. van de Poel, Weesp"
GAW093,Collectie Cacao- en chocoladefabriek C.J. van Houten 
GAW094,"Archief van de Gemeente Weesp, (1912) 1913-1922 (ca. 1950)"
GAW095,"Archief van de Zwem- en waterpolovereniging Triton , 1908-2008"
GAW096,"Collectie Van Bern - Van der Muelen, Weesp, 1680-1870"
GAW097,"Archief van de Badmintonclub Weesp, 1970-2003"
GAW098,"Archief van de Westelijke land- en tuinbouw organisatie, afdeling Gooi en Vechtstreek, 1995-1999"
GAW099,"Archief van de Enige Nederlandse Fietsers Bond, afdeling Weesp"
GAW100,Archief van de Nederlandse Christelijke Bond van Werknemers in de Hout- en Bouwnijverheid 
GAW101,Archief van de Raad van Kerken
GAW102,Archief van de Stichting 1940-1945  landelijke vereniging onderdrukkers (stukken Boonakker)
GAW103,Archief van de Stichting Nederland helpt Indië Weesp
GAW104,Archief van de Regionale Kruisvereniging Noordelijke Vechtstreek
GAW105,Archief van de Centrale Noodcommissie Helpt elkander 
GAW106,"Collectie Hamstra , 1908 - 2001"
GAW107,"Collectie volksvermaken Weesp, 1864"
GAW108,Archief van de Fa. A.C.M. van Elten 
GAW109,"Archief van de Weesper mannenkoor, 1923-1994"
GAW110,"Archief van de Weesper burgerwacht, 1919-1921"
GAW111,"Archief van de Partij van de Arbeid, afdeling Weesp"
GAW112,Archief van de Theresiaschool 
GAW113,Archief van de Stichting Eigen Woningbezit 
GAW114,Archief van de Openbare lagere school 
GAW115,"Archief van de Stichting ter Verbetering van de Agrarische Structuur in Noord-Holland, afdeling de Vechtstreek (STIVAS)"
GAW116,Archief van de Seniorenraad Weesp
GAW117,Archief van de Stichting Zwemmen Weesp
GAW118,Archief van de Weesper Volks Gymnastiek Vereniging (WVGV)
GAW119,Archief van de Vogelvrienden Weesp
GAW120-01,"Archief van de Vereniging tot Bevordering van Christelijk Nationaal Onderwijs  en Driemond (C.N.S.), (1820) 1869¿2000 (2006)"
GAW120-02,"Archief van de Vereniging tot Bevordering van Christelijk Kleuteronderwijs , 1895 - 1975 (1983)"
GAW121,Archief van de Kruisvereniging Weesp
GAW122,"Archief van de Gemeen, (1920) 1923-1939 (1969)"
GAW123,"Archief van Thom Posthuma sr., Weesp , 1910-1941"
GAW124,"Archief van Thomas Posthuma jr., Weesp, 1948-2010"
GAW125,Archief van de Personeelsvereniging gemeen
GAW127,"Archief van de Noord-Hollandse Vereeniging Het Witte Kruis, afdeling Weesp"
GAW128-01,"Archief van de Gereformeerde kerk , 1861-2006"
GAW129,"Collectie G.W. Dixon, Weesp, 1872-1876"
GAW130-01,"Archief van de Nederlandse Protestantenbond (N.P.B.), afdeling Weesp en omstreken, 1904-2010"
GAW130-02,"Archief van het Kerkkoor van de Nederlandse Protestantenbond, afdeling Weesp en omstreken, 1975-1997"
GAW131,"Collectie aanwinsten Weesp, 1643-"
GAW132,Collectie Van Houten  / Peter van Dam
GAW133,"Archief van de Weesper Toneelvereniging 'Ons Clubje', 1938-2012"
GAW134,"Archief van de Stichting Gezinshulp en Bejaardenzorg 'De Noordelijke Vecht' , 1978-1987"
GAW135,"Archief van de Doop-, trouw- en begraafboeken , 1627-1824"
GAW136,"Archief van de Registers van eigendomsovergangen , 1812-1833"
GAW137,"Archief van de Oud-rechterlijk en weeskamerarchief Weesp, 1546-1824"
GAW138,"Archief van de Notarissen , 1609-1842"
GAW139,"Archief van de Notarissen , 1843-1925"
GAW140,"Archief van de Notarissen , 1926-1935"
GAW141,"Archief van de Stad Weesp, gaardersarchief, 1609-1805"
GAW142,Archief van de Vereniging van Eigenaren Vorsselmanstraat 
GAW143,"Collectie Gemeentemuseum Weesp, -"
GAW144,Collectie historische documentatie gemeen
GAW145,Collectie kranten gemeente Weesp
GAW146,"Archief van de Gemeente gasbedrijf Weesp en Gemeentelijk energiebedrijf Hilversum, 1911-1989"
GAW147,"Archief van de Sierduivenvereniging 'De Witschild' , 1950-2010"
GAW148,Archief van de Gemeen
GAW149,"Collectie plakkaten en publicaties van Weesp, 1649-1851"
GAW150,Collectie tekeningen gemeen
GAW151,Archief van de Stichting voor Hulp Buitenlanders Weesp (SHB)
GAW152,"Archief van de Rooms-Katholieke Parochie H. Laurentius , aanvulling"
GAW153,Archief van het Gereformeerd Burgerweeshuis 
GAW154,Archief van de Familie Grijpink
GAW155,Archief van de Stichting Vrienden van de Weesper Synagoge
GAW156,Archief van de Stichting Gezondheidszorg Weesp
GAW157,Archief van de Christelijke gymnastiekvereniging Kracht en Vlugheid 
GAW158,Collectie brand Rooms-Katholieke H. Laurentiuskerk 
GAW159,Archief van de Oranjevereniging Weesp
GAW160,"Archief Samen-op-Weg Evangelisch-Lutherse Gemeente, Gereformeerde Kerk, Hervormde Gemeen"
GAW161,Collectie Van Houten bedrijfsarchief fotocollectie
GAW162,Archief van de Coronacollectie Weesp
GAW163,Collectie van de Familie Krapf
GAW164,Archief van de familie Vlugh
GAW165,"Archief van de Sieraardewerkfabriek Pottery Wesopa, ca. 1930-2020"
GAW166,"Archief van de Woonomgeving Weesp, hinderwetvergunningen"
GAW1660,Archief van de Gemeen: bouw- en woningtoezichtdossiers
GAW1661,Archief van de Gemeen: omgevingsvergunningen
GAW167,"Archief van de Woonomgeving Weesp, sonderingen"
GAW168,"Archief van de Woonomgeving Weesp, bodemonderzoeken"
GAW169,Archief van de familie Jansen-Bouhuys
GAW170,Archief van Gerrit Jansen
GAW1700,Archief van Gemeen: filmarchief
GAW1701,Archief van Gemeen: geluidsarchief
GAW1702,"Collectie kaarten, plattegronden en luchtfoto's van Weesp"
GAW1702,Topografisch-historische atlas Weesp
GAW1703,Collectie Edmond van Putte
GAW1704,Archief van de Gemeente Weesp: milieuvergunningen
GAW1705,Archief van de Gemeente Weesp: Coronacollectie
GAW1706,Archief van de Gemeente Weesp
GAW172,Archief van de Fotoalbums Van Houten
GAW173,Archief van de Historische bibliotheek Weesp
GAW174,Collectie historische periodieken Weesp
GAW200-00,Fotocollectie gemeentearchief Weesp
GAW200-01,Fotocollectie gemeentearchief Weesp
GAW200-02,Fotocollectie gemeentearchief Weesp
GAW200-03,Fotocollectie gemeentearchief Weesp
GAW200-04,Fotocollectie gemeentearchief Weesp
GAW200-05,Fotocollectie gemeentearchief Weesp
GAW200-06,Fotocollectie gemeentearchief Weesp
GAW200-07,Fotocollectie gemeentearchief Weesp
GAW200-08,Fotocollectie gemeentearchief Weesp
GAW200-09,Fotocollectie gemeentearchief Weesp
GAW200-10,Fotocollectie gemeentearchief Weesp
GAW200-11,Fotocollectie gemeentearchief Weesp
GAW201,Collectie Thom Posthuma Sr.
GAW202,Collectie Thomas Posthuma Jr.
GAW203,Collectie foto- en prentbriefkaarten J.P.C. Kemper
GAW204,Fotocollectie Cohlst-Van Houten
GAW205,Fotocollectie G. Hols
GAW206,Fotocollectie Kelch
GAW207,Collectie Huize Zwaanwijck fotocollectie
GAW208,Fotocollectie Tweede Wereldoorlog gemeentearchief Weesp
31640,Collectie de Archief Challenge
