toegangsnummer,titel
1262,Theologisch Dispuut Litteris Orientalibus Sacrum
1263,O. Bunjes & Zoon
1265,Stichting Amsterdam-Venetië
1271,Ada Wildekamp
1275,Rotary Amsterdam
1276,Familie Lopes Suasso
1277,Stichting De Schans
1278,F.M. Wibaut
1279,Katholieke Arbeidersbond Afdeling Amsterdam
1284,De Koloniale Tabaksimportmaatschappij
1285,AVAGG
1286,Joodse Vrouwengroep Deborah
1287,"Unie Vrijwilligers, afdeling Amsterdam"
1288,Tabakmaatschappij Sennah
1290,Koninklijke Handelsmaatschappij G. de Vries & Zonen
1291,"Maggifabriek, Nestlé"
1292,Matescha
1293,Gereformeerde Kerk Amsterdam-Noord
1301,Metaalhandel B.J. Nijkerk
1302,R.A.I.
1303,Familie de Flines
1305,Sociaal-Cultureel Wijkcentrum d`Oude Stadt
1310,Stichting Centraal Archief Katholiek Amsterdam
1311,Anti Radio Aktiviteits Groep
1312,Liberaal Joodse Gemeente
1313,Van Moppes Diamonds
1315,G.B. Salm en A. Salm Gbzn.
1317,Vereniging Amsterdam City
1318,Impresariaat Het Concertbureau
1319,Verbond van Liberaal Religieuze Joden in Nederland
1320,Vereniging Gezelschap van de Stille Omgang
1321,Plantage Buurtvereniging
1323,Dienst Luchthaven Schiphol en rechtsvoorganger
1324,St. Nederlands Instituut voor Nijverheid en Techniek
1325,Stichting Sail Amsterdam
1326,Parochie van de Heilige Agnes
1327,Ir. J.H. Mulder
1328,Wijnhandel en Distilleerderij J.J. Takes
1329,Amsterdamse Hockey- en Bandyclub
1330,Joodse Scholengemeenschap Maimonides
1331,Parochie van de Heilige Rita
1332,Welzijnscomité Amsteldijk
1333,Voorlichtingssocieteit Amsterdam
1334,Collectie truus Trompert
1335,G. Neervoort
1338,Industrieele Maatschappij
1340,Scholengemeenschap Berlage
1341,Goudstikker-Halban
1343,Boek- en Kantoorwerkdrukkerij G. van Tijen en Zonen
1344,Amsterdamse Studentenzeilvereniging Orionis
1345,Polanentheater
1346,Nederl.-Israelitische Instelling voor Sociale Arbeid
1348,Fundatie Van den Santheuvel en Fundatie Sobbe
1350,Margje Toonder
1351,Maatschappelijk Advies- en Informatiebureau A'dam
1353,Lerarenopleiding Textiele Werkvormen VU
1355,Stichting AFRA
1356,Familie Stokmans
1357,Regionaal Opleidingen Centrum Amsterdam (ROC)
1358,B.Z.O. Welzijn Amsterdam Zuid-Oost
1359,Firma S.H. Reiss
1363,Stichting Audiovisuele Manifestaties (SAM)
1365,Stichting Ziekenomroep RANO
